Time,Kn,Pc kpa,Thrust n,Mass Flux,Mass Flow,Cf,Surface Area,Nozzle Erosion,Mass Flux Grain 1
0.01,2023.467188,69359.30572,333.8864904,2.801785231,0.309447645,1.802708057,9.853227616,0,2.80178532
0.02,2054.035908,70822.98055,341.0752119,2.715641737,0.315977847,1.803463048,10.00208131,0,2.715641726
0.03,2084.593825,72294.70824,348.3035041,2.63402009,0.322543996,1.804191369,10.15088239,0,2.634020087
0.04,2115.135896,73774.17233,355.5697721,2.556580544,0.329144635,1.804894231,10.29960631,0,2.556580655
0.05,2145.657114,75261.02943,362.8723191,2.483015776,0.335778268,1.805572764,10.44822869,0,2.483015841
0.06,2176.152503,76754.94289,370.2095499,2.413046837,0.342443399,1.806228042,10.5967253,0,2.413046882
0.07,2206.617121,78255.58951,377.5798695,2.346420765,0.349138545,1.806861084,10.74507207,0,2.346420652
0.08,2237.046059,79762.61916,384.9815131,2.282906532,0.355862183,1.807472848,10.89324509,0,2.282906509
0.09,2267.434441,81275.69519,392.4128858,2.222294331,0.362612804,1.808064242,11.04122063,0,2.222294216
0.1,2297.777423,82794.48095,399.8722907,2.164391756,0.36938889,1.808636129,11.18897509,0,2.164391669
0.11,2328.070198,84318.63303,407.3580308,2.109022856,0.376188915,1.809189326,11.33648507,0,2.109022972
0.12,2358.307987,85847.80132,414.8684094,2.056026697,0.383011338,1.809724604,11.4837273,0,2.05602679
0.13,2388.486048,87381.65589,422.4018313,2.005254984,0.389854638,1.810242701,11.63067869,0,2.005255079
0.14,2418.599672,88919.83315,429.9564641,1.95657146,0.396717251,1.810744308,11.77731629,0,1.956571427
0.15,2448.644181,90461.99644,437.5306786,1.909850359,0.403597643,1.81123009,11.92361735,0,1.90985032
0.16,2478.614933,92007.80237,445.1227781,1.864975929,0.410494267,1.811700678,12.06955925,0,1.864975896
0.17,2508.507318,93556.88735,452.7309637,1.821841002,0.417405549,1.812156664,12.21511954,0,1.821840977
0.18,2538.31676,95108.92146,460.3536406,1.780346632,0.424329956,1.812598621,12.36027594,0,1.780346573
0.19,2568.038718,96663.53436,467.989044,1.740400791,0.431265901,1.813027085,12.50500634,0,1.74040074
0.2,2597.66868,98220.38941,475.6354091,1.701918364,0.438211837,1.813442575,12.64928877,0,1.70191835
0.21,2627.202174,99779.13648,483.2910391,1.664820194,0.4451662,1.81384558,12.79310145,0,1.664820247
0.22,2656.634757,101339.4187,490.954237,1.629032731,0.452127416,1.814236566,12.93642275,0,1.629032778
0.23,2685.962024,102900.8792,498.6232722,1.594487309,0.459093909,1.814615977,13.07923121,0,1.594487357
0.24,2715.1796,104463.1747,506.2963798,1.561120152,0.466064121,1.81498424,13.22150553,0,1.561120102
0.25,2744.283146,106025.9549,513.9717952,1.528871298,0.473036483,1.815341758,13.36322459,0,1.528871357
0.26,2773.268359,107588.8631,521.6479232,1.497685313,0.480009421,1.815688919,13.50436743,0,1.497685359
0.27,2802.130967,109151.549,529.3228974,1.467509985,0.486981366,1.81602609,13.64491325,0,1.467509975
0.28,2830.866736,110713.656,536.9950887,1.438296318,0.493950742,1.816353624,13.78484142,0,1.438296373
0.29,2859.471464,112274.8404,544.6626985,1.409998894,0.500915993,1.816671858,13.92413149,0,1.409998835
0.3,2887.940984,113834.7456,552.3240639,1.382574439,0.507875544,1.816981114,14.06276318,0,1.382574421
0.31,2916.271165,115393.0281,559.97742,1.3559829,0.514827839,1.817281699,14.20071635,0,1.355982862
0.32,2944.45791,116949.331,567.6211041,1.330186248,0.521771309,1.817573908,14.33797107,0,1.330186263
0.33,2972.497158,118503.3043,575.2532834,1.305148959,0.528704393,1.817858021,14.47450755,0,1.305149
0.34,3000.384883,120054.6112,582.8724648,1.280837536,0.535625549,1.818134311,14.6103062,0,1.280837573
0.35,3028.117094,121602.8882,590.4767137,1.257220387,0.542533204,1.818403032,14.74534757,0,1.257220335
0.36,3055.689834,123147.7851,598.0643335,1.234267473,0.549425805,1.818664432,14.8796124,0,1.234267481
0.37,3083.099185,124688.9654,605.633695,1.211950898,0.556301818,1.818918749,15.01308161,0,1.21195092
0.38,3110.341261,126226.0923,613.1831692,1.190244079,0.563159714,1.819166211,15.14573629,0,1.190244113
0.39,3137.412215,127758.8022,620.7109916,1.169121861,0.56999793,1.819407033,15.27755768,0,1.169121904
0.4,3164.308233,129286.7585,628.2153972,1.148560524,0.576814944,1.819641425,15.40852724,0,1.148560565
0.41,3191.025541,130809.6246,635.694825,1.128537655,0.583609237,1.819869588,15.53862656,0,1.128537635
0.42,3217.560397,132327.0637,643.147646,1.109031796,0.590379292,1.820091714,15.66783744,0,1.109031832
0.43,3243.9091,133838.7258,650.5720276,1.090022922,0.597123582,1.820307986,15.79614185,0,1.090022949
0.44,3270.06798,135344.2607,657.9663409,1.071491838,0.603840584,1.820518579,15.92352193,0,1.071491819
0.45,3296.033408,136843.3587,665.3290246,1.053420305,0.61052883,1.820723669,16.04995999,0,1.053420337
0.46,3321.80179,138335.6696,672.6583819,1.035791159,0.617186807,1.820923414,16.17543854,0,1.035791215
0.47,3347.36957,139820.8704,679.9528518,1.018588066,0.623813041,1.821117975,16.29994027,0,1.018588078
0.48,3372.733228,141298.6242,687.2107373,1.001795292,0.630406046,1.821307501,16.42344802,0,1.001795324
0.49,3397.889281,142768.5946,694.4303417,0.985398114,0.636964344,1.821492136,16.54594486,0,0.985398107
0.5,3422.834285,144230.4582,701.6101716,0.969382286,0.643486477,1.821672021,16.66741399,0,0.969382314
0.51,3447.564832,145683.8919,708.748598,0.953734517,0.649970994,1.821847289,16.78783882,0,0.9537345
0.52,3472.077552,147128.5724,715.8440599,0.938441873,0.656416454,1.82201807,16.90720296,0,0.938441846
0.53,3496.369112,148564.1767,722.8949283,0.923492134,0.662821417,1.822184488,17.02549016,0,0.923492123
0.54,3520.436219,149990.3815,729.8995742,0.908873677,0.669184455,1.822346661,17.14268439,0,0.908873662
0.55,3544.275616,151406.8636,736.8565043,0.894575298,0.675504143,1.822504706,17.25876979,0,0.894575321
0.56,3567.884084,152813.3268,743.7642254,0.880586505,0.681779102,1.822658733,17.37373069,0,0.880586496
0.57,3591.258444,154209.4478,750.6211764,0.866896987,0.688007922,1.822808849,17.48755161,0,0.866897009
0.58,3614.395554,155594.9304,757.425864,0.853497148,0.694189237,1.822955158,17.60021725,0,0.853497167
0.59,3637.292313,156969.438,764.1766594,0.840377629,0.700321639,1.823097756,17.71171249,0,0.840377633
0.6,3659.945654,158332.6877,770.872137,0.82752955,0.706403794,1.82323674,17.82202242,0,0.827529552
0.61,3682.352553,159684.3699,777.5108037,0.814944386,0.712434344,1.823372202,17.93113231,0,0.8149444
0.62,3704.510024,161024.1882,784.0912341,0.802614033,0.718411956,1.823504231,18.03902761,0,0.802614028
0.63,3726.415119,162351.8329,790.611867,0.790530622,0.724335289,1.823632911,18.14569398,0,0.790530608
0.64,3748.064929,163667.0348,797.0713451,0.778686702,0.730203062,1.823758326,18.25111724,0,0.778686684
0.65,3769.456586,164969.4841,803.4682429,0.767075062,0.736013953,1.823880555,18.35528343,0,0.767075048
0.66,3790.587261,166258.8845,809.8009994,0.755688787,0.741766664,1.823999672,18.45817877,0,0.7556888
0.67,3811.454162,167534.9802,816.0684605,0.744521379,0.747459961,1.824115755,18.55978967,0,0.744521362
0.68,3832.054542,168797.4614,822.2690654,0.733566344,0.753092548,1.824228873,18.66010275,0,0.733566349
0.69,3852.385688,170046.0589,828.4013885,0.722817659,0.758663195,1.824339094,18.75910481,0,0.72281767
0.7,3872.44493,171280.5032,834.4643439,0.712269485,0.764170677,1.824446487,18.85678283,0,0.712269472
0.71,3892.229639,172500.5117,840.4563025,0.701916099,0.769613765,1.824551113,18.95312402,0,0.701916106
0.72,3911.737223,173705.8149,846.3760428,0.691752136,0.774991257,1.824653035,19.04811576,0,0.69175215
0.73,3930.965134,174896.1571,852.222275,0.681772411,0.78030198,1.824752313,19.14174564,0,0.681772402
0.74,3949.910861,176071.2688,857.9937774,0.671971858,0.785544753,1.824849004,19.23400143,0,0.671971834
0.75,3968.571936,177230.8808,863.6891246,0.662345588,0.790718406,1.824943163,19.32487111,0,0.662345605
0.76,3986.94593,178374.7641,869.3072307,0.652889073,0.795821834,1.825034845,19.41434286,0,0.652889088
0.77,4005.030456,179502.636,874.8466702,0.643597782,0.800853871,1.8251241,19.50240505,0,0.643597768
0.78,4022.823167,180614.2675,880.3063573,0.634467363,0.805813435,1.825210979,19.58904625,0,0.634467344
0.79,4040.321757,181709.4162,885.6850701,0.625493646,0.810699435,1.82529553,19.67425524,0,0.625493654
0.8,4057.523963,182787.8262,890.9816548,0.616672635,0.815510778,1.825377799,19.75802099,0,0.616672664
0.81,4074.427559,183849.2687,896.1948217,0.608000517,0.820246414,1.825457831,19.84033267,0,0.608000508
0.82,4091.030365,184893.5013,901.3234171,0.599473417,0.824905291,1.825535669,19.92117966,0,0.599473439
0.83,4107.330239,185920.3084,906.3664906,0.591087878,0.829486402,1.825611355,20.00055152,0,0.591087859
0.84,4123.325082,186929.4477,911.3228884,0.582840264,0.833988718,1.825684929,20.07843805,0,0.582840267
0.85,4139.012837,187920.7172,916.1913888,0.574727297,0.838411274,1.82575643,20.15482921,0,0.574727316
0.86,4154.391486,188893.8879,920.9711094,0.566745758,0.842753085,1.825825896,20.2297152,0,0.566745741
0.87,4169.459057,189848.7445,925.6606926,0.558892429,0.847013194,1.825893363,20.30308639,0,0.558892399
0.88,4184.213617,190785.0848,930.2594598,0.551164269,0.851190674,1.825958866,20.37493339,0,0.551164257
0.89,4198.653275,191702.6935,934.7662571,0.543558359,0.855284597,1.826022437,20.44524698,0,0.543558367
0.9,4212.776183,192601.3686,939.1800664,0.536071897,0.859294062,1.826084109,20.51401816,0,0.536071888
0.91,4226.580535,193480.9215,943.4999374,0.52870208,0.8632182,1.826143915,20.58123814,0,0.528702076
0.92,4240.064567,194341.1502,947.724852,0.521446288,0.867056138,1.826201883,20.64689832,0,0.521446263
0.93,4253.226556,195181.8796,951.8539957,0.514301896,0.870807051,1.826258043,20.71099033,0,0.514301883
0.94,4266.064825,196002.9079,955.8864183,0.507266402,0.874470094,1.826312422,20.77350599,0,0.507266427
0.95,4278.577737,196804.0733,959.8213052,0.500337481,0.878044487,1.826365048,20.83443733,0,0.500337493
